vname,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
V1,0.550265003,0.403881707,0.379867433,0.51293569,0.480697786,0.411646952,0.492373645,0.570234568,0.585471169,0.429218359,0.527606857,0.564115835,0.307900763,0.401651176,0.493064606,0.44742304,0.465025998,0.544320024,0.649496218,0.560161182
V2,0.492017431,0.428883885,0.436677677,0.479574755,0.485094545,0.471579162,0.443968251,0.426518811,0.52390151,0.485597308,0.426195803,0.471377024,0.376020544,0.475848705,0.529064987,0.474310213,0.387986131,0.476684376,0.566148232,0.548168402
V3,0.577119427,0.549927681,0.444375241,0.49035502,0.460942659,0.439331622,0.528421292,0.597612689,0.590414003,0.490508026,0.54182031,0.565913706,0.364541455,0.438428518,0.529064987,0.477549248,0.420508253,0.525893172,0.681598373,0.581016799
V4,0.287757688,0.693170483,0.358004245,0.403739132,0.466643907,0.325581977,0.522813714,0.717953449,0.535491724,0.535929488,0.627165657,0.594696556,0.386999306,0.317155035,0.535362036,0.468498635,0.461340017,0.578465672,0.627087757,0.567949321
V5,0.621554713,0.662400109,0.549128733,0.632612825,0.55231698,0.562648479,0.625568356,0.720620136,0.660913459,0.561067996,0.662115469,0.656257724,0.48150735,0.581145931,0.605181334,0.56405075,0.516459312,0.615225015,0.708632799,0.68283948
V6,0.633776872,0.662564526,0.504173373,0.598754496,0.54341568,0.549407073,0.583917098,0.676396115,0.654861281,0.540440069,0.636238149,0.629922777,0.446878418,0.544595526,0.590531583,0.532667791,0.492358393,0.595468615,0.725076118,0.670594458
V7,0.572620951,0.552157824,0.448216185,0.506918645,0.484650349,0.442170219,0.496769547,0.581341991,0.615660526,0.528369667,0.541685399,0.573353784,0.365180774,0.45458441,0.527318195,0.503413905,0.419071283,0.541209741,0.666508073,0.604752549
V8,0.38369908,0.516524375,0.402598422,0.45931739,0.458482174,0.391946545,0.459539424,0.535619268,0.554186263,0.389448021,0.450540249,0.430867848,0.36565958,0.463212768,0.440194526,0.352675094,0.323549481,0.420803215,0.577973559,0.529012778
V9,0.594620046,0.641321894,0.520839328,0.600977502,0.540669548,0.520834827,0.591710764,0.681047148,0.649984057,0.540440069,0.614695064,0.600324384,0.450632947,0.560176783,0.571621678,0.547529643,0.464435275,0.591784781,0.695734356,0.670944299
V10,0.215340184,0.32853105,0.279951685,0.262217885,0.24561305,0.256424009,0.318218756,0.276379954,0.328651116,0.334476508,0.272883663,0.372417949,0.23052062,0.221691428,0.351340168,0.238114667,0.249655034,0.338151509,0.33084732,0.297908008
